tid,trening per uke,alder,klasse,løpsted
0:27:03,6,50,herre,Bergen
0:33:42,4,18,herre,Tromsø
0:40:56,3,43,dame,Kristiansand
0:50:23,1,32,dame,Kristiansand
0:44:58,2,38,dame,Grimstad
0:34:02,3,26,herre,Oslo
0:26:33,3,25,herre,Tromsø
0:57:58,4,51,dame,Kristiansand
0:23:31,4,20,herre,Oslo
0:45:09,3,40,dame,Tromsø
0:49:50,1,70,herre,Tromsø
0:38:25,8,21,herre,Tromsø
0:37:53,2,20,herre,Tromsø
0:39:53,3,59,herre,Oslo
0:43:06,3,54,herre,Kristiansand
0:25:43,12,30,herre,Oslo
0:38:09,4,53,herre,Kristiansand
0:36:44,2,24,herre,Grimstad
0:22:51,6,39,herre,Bergen
0:40:56,5,29,herre,Kristiansand
0:44:06,4,25,dame,Tromsø
0:40:40,3,32,dame,Grimstad
0:47:33,4,47,dame,Kristiansand
0:40:04,3,54,herre,Oslo
0:40:46,1,29,herre,Tromsø
0:27:28,6,26,herre,Grimstad
0:58:52,3,31,dame,Oslo
0:38:05,2,20,dame,Kristiansand
0:48:49,3,58,herre,Grimstad
0:54:27,3,43,dame,Grimstad
0:23:47,6,28,herre,Oslo
0:44:47,1,25,dame,Oslo
0:51:00,10,66,herre,Bergen
0:50:14,5,53,dame,Kristiansand
0:28:21,3,18,herre,Kristiansand
0:45:23,3,33,dame,Grimstad
0:28:01,10,32,herre,Kristiansand
0:41:18,4,52,herre,Oslo
0:41:54,1,34,dame,Tromsø
0:33:35,6,43,herre,Grimstad
0:53:04,3,19,dame,Tromsø
0:54:45,5,67,herre,Tromsø
0:38:25,4,57,dame,Tromsø
0:45:08,4,32,dame,Kristiansand
0:45:35,3,47,herre,Oslo
0:45:47,3,57,herre,Grimstad
0:35:30,2,19,herre,Kristiansand
0:52:47,2,18,dame,Grimstad
0:43:39,8,50,herre,Tromsø
0:41:55,3,26,dame,Grimstad
0:35:08,6,45,dame,Oslo
0:48:04,3,51,herre,Oslo
0:42:33,3,44,dame,Tromsø
0:31:34,2,29,herre,Kristiansand
0:49:40,5,52,dame,Kristiansand
0:47:24,3,55,dame,Grimstad
0:37:06,5,39,herre,Grimstad
0:37:06,9,27,herre,Tromsø
0:47:25,3,36,dame,Grimstad
0:33:27,5,23,herre,Grimstad
0:54:23,7,71,herre,Grimstad
0:31:32,5,47,herre,Kristiansand
0:48:45,1,39,herre,Grimstad
0:29:10,10,54,herre,Bergen
0:50:07,4,67,herre,Tromsø
0:30:32,4,20,herre,Grimstad
0:39:40,4,52,herre,Kristiansand
0:31:04,9,26,herre,Tromsø
0:53:15,4,73,herre,Tromsø
0:48:58,1,34,dame,Kristiansand
0:47:01,2,25,dame,Grimstad
0:33:26,8,28,herre,Oslo
0:50:22,13,71,dame,Kristiansand
0:38:03,1,35,herre,Bergen
0:31:50,4,27,herre,Oslo
0:42:04,10,41,dame,Grimstad
0:46:36,2,35,dame,Tromsø
0:33:55,5,18,herre,Bergen
0:59:56,1,46,dame,Grimstad
0:43:06,4,18,dame,Oslo
0:51:45,3,27,dame,Grimstad
0:31:09,3,28,herre,Tromsø
0:42:59,6,39,dame,Kristiansand
0:34:42,5,22,dame,Grimstad
0:50:52,3,47,dame,Bergen
0:56:41,3,21,dame,Tromsø
0:42:23,3,29,dame,Tromsø
0:53:10,5,55,dame,Oslo
0:37:44,5,33,dame,Kristiansand
0:40:29,6,59,dame,Tromsø
0:32:52,2,30,herre,Grimstad
0:58:21,3,45,dame,Oslo
0:41:00,3,18,herre,Oslo
0:44:55,1,51,herre,Kristiansand
0:21:11,11,39,herre,Kristiansand
0:53:04,1,41,dame,Oslo
0:35:16,8,42,dame,Oslo
0:35:24,5,22,herre,Grimstad
0:51:39,3,47,dame,Tromsø
0:17:51,10,43,herre,Tromsø
0:27:56,5,23,herre,Tromsø
0:55:54,3,63,dame,Bergen
0:48:37,3,42,dame,Oslo
0:31:54,4,42,herre,Tromsø
0:47:17,3,47,dame,Tromsø
0:29:55,3,42,herre,Bergen
0:45:08,3,38,dame,Bergen
0:43:57,3,46,dame,Bergen
0:36:56,5,36,herre,Kristiansand
0:44:23,5,68,herre,Tromsø
0:37:24,4,50,dame,Tromsø
0:35:52,10,57,dame,Kristiansand
0:35:49,2,42,herre,Tromsø
0:53:54,1,33,dame,Bergen
0:29:32,14,53,herre,Grimstad
0:30:31,9,26,herre,Bergen
0:34:59,7,65,herre,Tromsø
0:52:37,3,71,herre,Kristiansand
0:45:12,3,62,herre,Kristiansand
0:53:45,2,54,dame,Grimstad
0:47:51,3,29,dame,Grimstad
0:55:17,5,74,herre,Bergen
0:52:18,1,39,dame,Kristiansand
0:33:03,4,41,herre,Bergen
0:26:51,7,56,herre,Grimstad
0:55:08,1,74,herre,Tromsø
0:31:06,12,44,herre,Tromsø
0:47:14,2,18,herre,Grimstad
0:40:13,2,33,dame,Tromsø
0:43:38,3,53,dame,Tromsø
0:35:13,9,40,herre,Tromsø
0:49:22,3,27,dame,Grimstad
0:38:06,10,56,herre,Tromsø
0:39:07,10,52,dame,Kristiansand
0:40:36,6,33,dame,Oslo
0:46:23,1,56,herre,Bergen
0:26:22,6,34,herre,Tromsø
0:29:28,8,18,herre,Oslo
0:38:38,8,32,dame,Bergen
0:36:25,4,47,dame,Kristiansand
0:43:56,2,44,dame,Oslo
0:44:42,10,57,dame,Grimstad
0:47:19,2,45,dame,Tromsø
0:36:49,5,26,dame,Kristiansand
0:37:21,3,40,dame,Bergen
0:33:40,3,31,herre,Tromsø
0:48:30,3,45,dame,Bergen
0:35:00,6,33,dame,Grimstad
0:43:30,2,40,dame,Bergen
0:50:37,2,19,dame,Bergen
0:37:20,9,50,herre,Grimstad
0:51:19,1,26,dame,Kristiansand
0:54:43,4,63,herre,Oslo
0:52:42,1,48,dame,Kristiansand
0:40:18,8,44,herre,Bergen
0:52:09,5,72,herre,Bergen
0:39:34,5,61,herre,Bergen
0:56:26,3,62,dame,Tromsø
0:48:42,1,38,herre,Bergen
0:55:39,2,61,herre,Oslo
0:36:22,3,19,dame,Kristiansand
0:39:52,5,59,herre,Grimstad
0:26:36,14,20,dame,Bergen
0:43:22,6,65,herre,Oslo
0:29:23,3,39,herre,Kristiansand
0:24:18,10,56,herre,Bergen
0:36:05,3,23,herre,Tromsø
0:47:21,1,55,herre,Tromsø
0:29:07,11,26,dame,Grimstad
0:50:42,4,70,herre,Grimstad
0:51:37,1,18,dame,Kristiansand
0:38:33,4,29,dame,Bergen
0:35:25,3,36,herre,Grimstad
0:42:30,9,22,herre,Bergen
0:45:04,5,40,dame,Grimstad
0:45:28,2,54,herre,Bergen
0:29:40,3,38,herre,Oslo
0:54:03,1,41,dame,Tromsø
0:33:43,7,33,herre,Oslo
0:26:39,11,41,dame,Oslo
0:43:18,5,25,herre,Bergen
0:33:20,4,21,dame,Bergen
0:44:19,1,66,herre,Kristiansand
0:46:24,9,18,dame,Kristiansand
0:30:08,12,46,dame,Oslo
0:40:49,3,46,herre,Oslo
0:39:26,4,24,herre,Kristiansand
0:49:19,4,41,dame,Bergen
0:55:04,3,62,dame,Oslo
0:55:53,4,49,dame,Kristiansand
0:37:59,3,40,dame,Oslo
0:47:12,3,21,dame,Kristiansand
0:36:16,6,62,herre,Bergen
0:27:31,5,26,herre,Tromsø
0:37:14,6,38,dame,Bergen
0:47:46,3,23,dame,Bergen
0:50:32,4,54,dame,Tromsø
0:55:36,3,80,herre,Tromsø
0:38:20,4,49,herre,Kristiansand
0:41:06,2,41,herre,Grimstad
0:56:51,3,49,dame,Grimstad
0:53:11,2,45,dame,Tromsø
0:44:05,2,45,herre,Bergen
0:32:47,11,50,dame,Grimstad
0:55:39,2,73,dame,Oslo
0:37:03,6,46,herre,Tromsø
0:46:09,4,62,herre,Oslo
0:23:58,4,50,herre,Kristiansand
0:37:20,4,20,herre,Oslo
0:43:06,3,31,dame,Kristiansand
0:56:11,2,36,dame,Bergen
0:28:52,3,34,herre,Oslo
0:52:08,2,58,dame,Kristiansand
0:35:07,9,49,dame,Oslo
0:52:10,1,75,herre,Tromsø
0:36:44,5,42,herre,Bergen
0:59:02,4,85,herre,Bergen
0:49:08,4,48,dame,Kristiansand
0:38:07,4,53,herre,Oslo
0:42:19,3,32,dame,Tromsø
0:33:20,11,42,herre,Grimstad
0:35:52,5,44,herre,Oslo
0:34:01,1,19,herre,Oslo
0:47:34,2,25,dame,Oslo
0:54:24,1,50,dame,Oslo
0:40:26,8,52,herre,Bergen
0:44:57,2,38,dame,Grimstad
0:44:42,2,20,dame,Tromsø
0:39:47,2,53,herre,Bergen
0:40:10,3,61,herre,Bergen
0:39:45,9,52,dame,Grimstad
0:46:33,6,28,dame,Kristiansand
0:49:48,2,54,herre,Oslo
0:30:33,4,41,herre,Grimstad
0:51:06,14,68,dame,Oslo
0:41:35,4,23,herre,Grimstad
0:40:30,5,26,herre,Bergen
0:36:18,4,35,herre,Bergen
0:32:42,4,35,herre,Bergen
0:39:11,11,37,dame,Grimstad
0:32:50,4,37,herre,Tromsø
0:48:37,4,68,herre,Grimstad
0:31:00,7,26,herre,Bergen
0:57:54,3,64,herre,Grimstad
0:44:13,1,26,herre,Kristiansand
0:29:29,4,44,herre,Bergen
0:45:39,1,18,dame,Oslo
0:44:34,2,74,herre,Oslo
0:29:07,1,21,herre,Oslo
0:39:48,5,40,dame,Oslo
0:27:38,3,53,herre,Oslo
0:50:11,6,55,dame,Kristiansand
0:43:18,6,23,dame,Kristiansand
0:34:44,11,35,dame,Kristiansand
0:38:15,3,36,dame,Oslo
0:35:45,2,18,herre,Kristiansand
0:52:21,3,28,dame,Tromsø
0:40:11,1,46,herre,Kristiansand
0:45:58,3,19,dame,Kristiansand
0:35:10,3,18,herre,Oslo
0:35:37,2,21,herre,Tromsø
0:53:58,3,31,dame,Grimstad
0:46:15,3,24,dame,Kristiansand
0:46:50,7,60,herre,Bergen
0:44:39,3,28,dame,Grimstad
0:37:01,4,45,herre,Bergen
0:58:33,1,35,dame,Kristiansand
0:44:23,2,21,dame,Grimstad
0:39:17,9,57,herre,Grimstad
0:41:01,2,25,herre,Tromsø
0:50:40,3,66,herre,Kristiansand
0:45:58,2,61,dame,Tromsø
0:56:39,5,59,dame,Oslo
0:47:05,5,51,dame,Tromsø
0:42:19,5,40,dame,Oslo
0:45:57,1,51,herre,Tromsø
0:43:03,3,55,herre,Bergen
0:52:01,1,53,herre,Kristiansand
0:36:27,3,18,herre,Tromsø
0:50:18,3,19,dame,Grimstad
0:33:54,2,47,herre,Tromsø
0:56:16,3,61,dame,Kristiansand
0:30:59,5,52,herre,Bergen
0:45:36,6,37,dame,Grimstad
0:45:43,3,31,dame,Tromsø
0:40:34,3,47,herre,Tromsø
0:28:52,5,59,herre,Grimstad
0:39:25,1,21,herre,Oslo
0:18:47,11,31,herre,Kristiansand
0:42:14,11,53,herre,Oslo
0:59:38,3,62,dame,Bergen
0:43:46,5,35,herre,Oslo
0:44:58,2,35,dame,Grimstad
0:50:18,2,61,herre,Oslo
0:34:44,6,44,herre,Oslo
0:47:45,4,58,herre,Oslo
0:51:03,1,36,herre,Bergen
0:52:33,3,70,herre,Kristiansand
0:53:59,1,60,dame,Bergen
0:22:27,12,37,herre,Oslo
0:30:40,3,25,herre,Kristiansand
0:40:48,9,33,dame,Bergen
0:37:13,5,28,herre,Bergen
0:26:22,3,20,herre,Oslo
0:40:48,2,38,herre,Grimstad
0:58:00,1,68,herre,Grimstad
0:44:23,10,65,dame,Tromsø
0:55:32,1,24,dame,Tromsø
0:37:32,3,34,dame,Oslo
0:57:49,1,68,herre,Grimstad
0:45:19,5,49,dame,Tromsø
0:42:50,3,31,herre,Kristiansand
0:33:45,2,34,dame,Kristiansand
0:34:08,5,34,herre,Kristiansand
0:39:08,2,38,herre,Kristiansand
0:36:12,10,48,dame,Bergen
0:37:37,5,39,herre,Bergen
0:36:15,3,36,herre,Bergen
0:31:38,5,46,herre,Grimstad
0:45:36,3,58,dame,Grimstad
0:35:08,11,43,herre,Grimstad
0:41:08,3,64,herre,Grimstad
0:39:33,2,31,herre,Bergen
0:32:18,3,30,herre,Bergen
0:49:04,2,32,dame,Grimstad
0:54:27,1,25,dame,Grimstad
0:57:42,4,71,herre,Grimstad
0:43:55,8,46,dame,Oslo
0:49:49,2,69,herre,Kristiansand
0:39:16,5,35,herre,Bergen
0:47:00,5,18,dame,Bergen
0:41:22,8,57,dame,Tromsø
0:40:38,8,27,herre,Oslo
0:41:28,8,32,dame,Bergen
0:44:50,5,40,dame,Bergen
0:46:38,1,31,herre,Kristiansand
0:46:21,2,36,dame,Bergen
0:40:21,4,20,herre,Tromsø
0:59:54,2,58,dame,Oslo
0:29:22,11,39,herre,Grimstad
0:35:47,2,40,herre,Tromsø
0:25:22,8,58,herre,Tromsø
0:56:55,1,74,herre,Tromsø
0:54:39,2,64,dame,Grimstad
0:30:23,4,40,herre,Grimstad
0:47:27,3,18,dame,Bergen
0:57:13,3,56,dame,Grimstad
0:37:40,3,38,herre,Oslo
0:55:44,4,61,dame,Grimstad
0:36:11,3,38,herre,Oslo
0:27:01,3,53,herre,Oslo
0:37:45,11,41,dame,Bergen
0:30:24,3,43,herre,Kristiansand
0:46:31,1,42,dame,Kristiansand
0:28:02,9,32,herre,Bergen
0:35:38,2,37,herre,Oslo
0:28:04,3,37,herre,Tromsø
0:46:36,5,74,herre,Bergen
0:31:51,13,31,dame,Tromsø
0:46:01,3,46,dame,Oslo
0:34:49,4,39,herre,Tromsø
0:46:23,3,49,dame,Bergen
0:45:19,9,26,dame,Oslo
0:24:25,8,34,herre,Grimstad
0:33:32,5,47,dame,Kristiansand
0:34:25,4,35,dame,Bergen
0:43:59,1,37,dame,Grimstad
0:36:38,3,18,herre,Bergen
0:51:27,4,42,dame,Grimstad
0:50:41,1,38,dame,Kristiansand
0:53:23,10,64,dame,Grimstad
0:51:14,4,22,dame,Kristiansand
0:48:35,2,28,herre,Bergen
0:41:03,4,49,herre,Oslo
0:30:58,12,40,herre,Kristiansand
0:51:21,4,50,dame,Bergen
0:50:07,1,25,dame,Oslo
0:30:05,3,20,herre,Grimstad
0:49:40,1,37,dame,Bergen
0:34:39,2,44,herre,Kristiansand
0:57:47,3,52,dame,Grimstad
0:45:11,3,52,dame,Bergen
0:42:20,4,64,herre,Grimstad
0:37:46,3,39,herre,Grimstad
0:32:49,10,23,herre,Oslo
0:38:23,6,60,dame,Oslo
0:49:57,1,43,dame,Kristiansand
0:36:36,5,41,dame,Kristiansand
0:39:33,3,33,herre,Tromsø
0:42:58,2,57,dame,Bergen
0:40:55,3,28,dame,Grimstad
0:35:51,10,47,dame,Oslo
0:43:55,10,51,dame,Oslo
0:49:54,3,56,dame,Grimstad
0:31:35,3,34,herre,Tromsø
0:44:01,4,61,herre,Oslo
0:34:42,10,59,herre,Grimstad
0:46:41,2,54,dame,Bergen
0:43:44,4,24,dame,Tromsø
0:43:15,3,45,herre,Grimstad
0:39:54,3,34,herre,Kristiansand
0:40:41,12,35,dame,Tromsø
0:41:38,3,58,herre,Oslo
0:52:24,1,21,herre,Tromsø
0:51:17,4,73,herre,Grimstad
0:51:16,1,30,dame,Tromsø
0:49:06,3,27,dame,Grimstad
0:47:32,1,30,dame,Kristiansand
0:45:18,4,34,dame,Oslo
0:33:21,5,40,herre,Tromsø
0:28:54,7,39,herre,Oslo
0:42:24,3,19,dame,Kristiansand
0:38:07,3,43,herre,Bergen
0:50:12,3,42,dame,Bergen
0:50:26,12,73,dame,Oslo
0:44:41,2,49,dame,Oslo
0:49:56,5,44,dame,Bergen
0:32:20,9,20,herre,Oslo
0:41:18,4,28,dame,Tromsø
0:43:47,4,40,herre,Bergen
0:35:20,6,41,herre,Oslo
0:30:35,4,30,herre,Bergen
0:43:31,4,36,dame,Tromsø
0:40:20,1,41,herre,Tromsø
0:36:45,2,21,herre,Oslo
0:45:17,4,60,dame,Bergen
0:30:04,2,29,herre,Bergen
0:27:31,5,35,herre,Grimstad
0:48:55,2,43,herre,Tromsø
0:42:48,3,26,dame,Bergen
0:37:48,9,69,herre,Oslo
0:54:56,9,73,dame,Bergen
0:44:46,3,40,dame,Bergen
0:27:30,11,38,herre,Bergen
0:52:04,3,65,herre,Kristiansand
0:41:28,3,23,dame,Tromsø
0:44:32,8,23,dame,Grimstad
0:51:30,1,60,herre,Bergen
0:37:11,3,20,herre,Oslo
0:38:55,3,19,herre,Kristiansand
0:50:58,2,62,herre,Grimstad
0:49:15,3,32,dame,Grimstad
0:41:03,4,34,dame,Kristiansand
0:36:22,5,29,herre,Bergen
0:45:08,3,23,dame,Kristiansand
0:50:31,1,48,dame,Kristiansand
0:48:44,10,68,herre,Grimstad
0:54:00,9,59,dame,Grimstad
0:27:18,3,29,herre,Bergen
0:27:31,11,23,herre,Oslo
0:38:45,8,20,dame,Kristiansand
0:44:16,2,68,herre,Oslo
0:55:31,3,34,dame,Tromsø
0:47:02,3,28,dame,Bergen
0:42:39,6,54,herre,Bergen
0:44:28,4,54,herre,Bergen
0:42:31,3,52,dame,Grimstad
0:48:15,5,18,dame,Tromsø
0:46:00,10,47,dame,Tromsø
0:40:30,4,18,dame,Bergen
0:45:03,6,20,dame,Tromsø
0:29:32,3,33,herre,Oslo
0:42:09,3,35,dame,Tromsø
0:37:27,2,34,dame,Oslo
0:35:01,7,27,herre,Grimstad
0:39:28,11,71,herre,Bergen
0:25:47,10,27,herre,Oslo
0:46:24,3,55,herre,Kristiansand
0:28:30,9,48,herre,Bergen
0:28:52,12,29,dame,Kristiansand
0:44:41,3,48,dame,Tromsø
0:37:51,3,65,herre,Grimstad
0:41:39,9,43,dame,Oslo
0:41:09,5,24,herre,Bergen
0:58:58,3,63,herre,Grimstad
0:26:02,3,45,herre,Bergen
0:45:03,3,21,dame,Bergen
0:45:57,4,65,herre,Tromsø
0:37:07,3,25,herre,Oslo
0:38:08,3,22,herre,Tromsø
0:44:32,3,42,dame,Tromsø
0:42:45,3,47,herre,Tromsø
0:51:01,3,64,dame,Bergen
0:52:46,4,62,herre,Grimstad
0:28:37,7,18,herre,Tromsø
0:42:33,5,59,herre,Bergen
0:30:04,4,30,herre,Kristiansand
0:39:12,3,27,dame,Bergen
0:48:03,2,50,dame,Oslo
0:37:08,9,27,dame,Oslo
0:33:38,12,33,herre,Tromsø
0:22:22,10,40,herre,Grimstad
0:40:40,4,31,herre,Tromsø
0:42:03,2,49,herre,Oslo
0:48:53,3,52,dame,Tromsø
0:43:54,3,48,herre,Grimstad
0:35:13,10,38,dame,Grimstad
0:32:34,2,41,herre,Tromsø
0:55:29,2,48,dame,Oslo
0:24:56,3,37,herre,Bergen
0:34:14,3,40,herre,Grimstad
0:30:18,3,49,herre,Tromsø
0:37:44,5,27,dame,Grimstad
0:51:02,10,63,dame,Kristiansand
0:54:59,2,61,dame,Kristiansand
0:28:44,9,50,herre,Oslo
0:42:17,11,26,dame,Oslo
0:51:05,11,56,dame,Kristiansand
0:35:46,3,26,herre,Oslo
0:55:06,3,46,dame,Tromsø
0:46:23,2,21,herre,Kristiansand
0:52:16,3,58,dame,Bergen
0:37:32,2,32,herre,Grimstad
0:37:09,3,28,dame,Grimstad
0:50:50,3,56,herre,Kristiansand
0:57:09,5,48,dame,Oslo
0:46:27,5,38,dame,Oslo
0:43:38,6,37,herre,Grimstad
0:47:29,2,48,dame,Bergen
0:36:46,4,51,herre,Grimstad
0:45:22,3,57,herre,Tromsø
0:33:47,3,37,herre,Grimstad
0:58:14,2,55,dame,Oslo
0:47:41,2,63,herre,Grimstad
0:51:44,4,68,herre,Bergen
0:41:02,2,63,herre,Grimstad
0:37:53,2,34,herre,Oslo
0:54:01,3,73,herre,Grimstad
0:51:30,3,56,dame,Kristiansand
0:30:38,3,43,herre,Grimstad
0:47:23,2,43,herre,Oslo
0:28:53,4,18,herre,Bergen
0:57:49,1,68,dame,Kristiansand
0:39:44,2,34,herre,Bergen
0:28:52,3,21,herre,Oslo
0:39:38,9,44,dame,Oslo
0:36:23,3,41,herre,Grimstad
0:38:17,5,21,herre,Tromsø
0:41:13,3,33,dame,Grimstad
0:32:26,3,21,dame,Bergen
0:42:28,2,33,herre,Kristiansand
0:45:28,2,23,dame,Oslo
0:53:06,1,45,dame,Kristiansand
0:45:56,3,45,dame,Tromsø
0:36:53,3,33,dame,Grimstad
0:22:24,12,25,herre,Kristiansand
0:41:03,5,41,dame,Oslo
0:47:35,4,60,herre,Kristiansand
0:35:14,3,39,herre,Tromsø
0:40:58,5,28,herre,Bergen
0:47:15,3,56,herre,Grimstad
0:34:26,13,43,dame,Grimstad
0:41:28,3,33,dame,Bergen
0:58:28,4,64,dame,Tromsø
0:38:14,6,37,herre,Oslo
0:25:28,11,33,herre,Kristiansand
0:43:20,2,74,herre,Tromsø
0:28:03,9,30,herre,Oslo
0:41:40,4,70,herre,Kristiansand
0:37:28,2,24,herre,Bergen
0:26:00,14,30,dame,Grimstad
0:35:28,9,35,dame,Bergen
0:40:01,12,40,dame,Oslo
0:55:08,5,63,herre,Grimstad
0:31:27,4,45,herre,Bergen
0:46:21,4,40,dame,Tromsø
0:28:32,3,59,herre,Bergen
0:30:05,7,42,herre,Bergen
0:37:52,1,51,herre,Grimstad
0:36:59,5,42,dame,Oslo
0:34:54,2,37,herre,Kristiansand
0:43:09,1,30,herre,Kristiansand
0:37:08,9,71,herre,Kristiansand
0:45:44,3,57,herre,Kristiansand
0:37:12,2,40,herre,Bergen
0:32:11,11,31,dame,Kristiansand
0:42:18,4,29,dame,Bergen
0:40:52,3,44,dame,Bergen
0:42:10,2,32,dame,Oslo
0:36:29,3,26,herre,Oslo
0:40:44,4,27,herre,Bergen
0:37:08,8,18,herre,Bergen
0:41:48,8,24,dame,Grimstad
0:42:43,11,52,dame,Tromsø
0:40:35,5,41,dame,Tromsø
0:46:54,1,43,herre,Bergen
0:23:59,13,23,herre,Grimstad
0:51:45,2,26,dame,Kristiansand
0:47:20,5,49,dame,Kristiansand
0:46:14,1,34,dame,Tromsø
0:47:39,2,57,herre,Tromsø
0:33:24,6,43,herre,Tromsø
0:39:42,3,59,herre,Kristiansand
0:37:05,5,50,herre,Grimstad
0:42:32,3,48,dame,Grimstad
0:58:53,5,66,dame,Oslo
0:47:44,12,54,dame,Bergen
0:25:38,13,30,herre,Grimstad
0:54:42,5,66,herre,Oslo
0:39:04,2,48,herre,Kristiansand
0:36:50,4,49,herre,Bergen
0:38:00,6,33,dame,Kristiansand
0:31:59,5,33,dame,Kristiansand
0:28:05,7,38,herre,Bergen
0:45:39,9,46,dame,Kristiansand
0:49:54,4,29,dame,Oslo
0:31:46,9,56,herre,Kristiansand
0:26:07,10,38,herre,Grimstad
0:50:20,3,50,dame,Kristiansand
0:50:55,3,31,dame,Bergen
0:47:10,7,56,dame,Kristiansand
0:42:12,5,32,dame,Tromsø
0:48:31,4,69,herre,Bergen
0:35:09,4,47,herre,Oslo
0:45:59,4,23,dame,Kristiansand
0:50:42,4,54,dame,Bergen
0:48:36,4,26,dame,Oslo
0:42:00,3,30,herre,Oslo
0:46:29,2,60,herre,Kristiansand
0:28:48,3,26,herre,Grimstad
0:41:38,3,39,herre,Tromsø
