ProductID,FatContent,Visibility,StoreType,SizeStore,MRP,Sales
FDP33,Low Fat,-99.0,Supermarket Type2,Medium,256.6672,3068.0064
FDO23,Low Fat,-99.0,Supermarket Type1,,93.1436,2174.5028
DRH01,Low Fat,0.097904029,Supermarket Type1,Small,174.8738,2085.2856
NCX29,Low Fat,0.08929113699999999,Supermarket Type1,Medium,146.7102,3791.0652
FDV20,Regular,0.059511812,Supermarket Type3,Medium,128.0678,2797.6916
DRZ11,Regular,0.113123893,Supermarket Type2,Medium,122.5388,1609.9044
FDX10,Regular,0.123111453,Supermarket Type3,Medium,36.9874,388.1614
FDB34,Low Fat,0.026480954,Supermarket Type3,Medium,87.6198,2180.495
FDU02,Low Fat,0.102511504,Supermarket Type1,Small,230.6352,3435.528
FDK43,Low Fat,0.02681843,Supermarket Type1,High,126.002,2150.534
FDA46,Low Fat,0.117818348,Supermarket Type1,Medium,192.9136,2527.3768
FDC02,Low Fat,0.06910283099999999,Supermarket Type2,Medium,259.9278,6768.5228
FDL50,Regular,0.042277867,Supermarket Type1,High,126.5046,373.5138
FDM39,LF,0.08949892599999999,Grocery Store,,178.1002,358.2004
NCP05,Low Fat,-99.0,Supermarket Type1,,153.3024,2428.8384
FDV49,Low Fat,0.025879577,Supermarket Type1,,265.2226,5815.0972
FDL12,Regular,0.121632721,Supermarket Type1,Small,60.622,2576.646
FDS02,Regular,0.25539489600000004,Grocery Store,Small,196.8794,780.3176
NCL17,Low Fat,0.067779712,Supermarket Type1,Small,143.8812,3134.5864
FDM40,Low Fat,0.159803853,Supermarket Type1,High,141.5154,850.8924
FDR13,Regular,0.028696932,Supermarket Type1,High,117.0492,810.9444
FDA43,Low Fat,0.065041581,Supermarket Type1,,196.3794,3121.2704
NCP18,Low Fat,0.028760013,Supermarket Type1,,151.4708,4815.0656
FDK21,Low Fat,0.010053105,Supermarket Type2,Medium,249.0408,6258.52
NCX54,Low Fat,0.048157338,Supermarket Type1,,106.1622,2117.244
DRK35,Low Fat,0.071958197,Supermarket Type1,Medium,38.0506,796.9626
FDY21,Low Fat,0.17348130399999998,Supermarket Type1,Small,194.511,4910.275
FDI26,Low Fat,0.061082177,Grocery Store,Small,180.0344,892.172
FDM20,Low Fat,-99.0,Supermarket Type2,Medium,246.9144,3185.1872
FDV27,Regular,0.040071131,Supermarket Type1,,87.3514,1062.6168
FDF09,Low Fat,0.012090074,Supermarket Type3,Medium,38.2848,484.7024
FDY40,Regular,0.15028599,Grocery Store,Small,51.0692,147.8076
FDY45,Low Fat,0.026015519,Supermarket Type3,Medium,255.8356,2543.356
FDC46,LF,0.195068226,Grocery Store,,185.4266,184.4266
FDH19,Low Fat,0.033082215,Supermarket Type1,Small,172.5738,4865.6664
FDZ03,Regular,0.078946455,Supermarket Type1,,186.024,1118.544
DRH37,Low Fat,0.041700756,Supermarket Type1,,164.8526,2302.3364
NCI17,Low Fat,0.14342264300000002,Supermarket Type1,Small,95.841,2027.361
FDJ58,Regular,0.105296072,Supermarket Type1,Small,170.1764,3435.528
FDL12,Regular,0.121531501,Supermarket Type1,High,59.222,599.22
FDH35,Low Fat,-99.0,Supermarket Type1,,164.7526,4604.6728
FDG02,Low Fat,0.011324862,Supermarket Type1,,189.6188,2285.0256
NCZ18,low fat,0.186357148,Supermarket Type1,Medium,254.3698,5580.7356
FDC29,Regular,0.024205661,Supermarket Type1,Small,114.0176,2290.3520000000008
FDQ10,Low Fat,0.033230816,Supermarket Type1,Medium,172.3422,1207.0954
FDN48,Low Fat,0.113720344,Grocery Store,Small,89.9804,643.1628
FDL04,Low Fat,0.112556507,Supermarket Type1,,104.9622,1587.933
FDV25,Low Fat,-99.0,Supermarket Type1,,222.5456,5305.0944
FDD58,Low Fat,0.059352240999999986,Supermarket Type1,Small,101.87,1697.79
FDN04,reg,0.014087057,Supermarket Type1,Small,180.3344,1427.4752
FDV45,low fat,0.045230944,Supermarket Type2,Medium,187.9556,4693.89
NCL18,Low Fat,0.293417759,Grocery Store,Small,194.6136,583.2408
FDR12,Regular,0.031382044,Supermarket Type3,Medium,171.3764,3091.9752
FDG20,Regular,0.12639886,Supermarket Type1,,177.0028,2479.4392
FDZ55,Low Fat,0.025403898,Supermarket Type1,Small,160.99200000000005,2716.4640000000004
FDQ49,Regular,0.039057677,Supermarket Type3,Medium,155.963,3285.723
FDN33,Regular,0.123115764,Supermarket Type1,Small,95.6436,661.8052
FDN27,Low Fat,0.039624006,Supermarket Type1,Medium,117.2808,1523.3504
FDW20,Low Fat,0.040421193,Grocery Store,,122.173,369.519
DRG27,Low Fat,0.105274111,Supermarket Type1,Medium,39.9138,690.4346
DRI25,Low Fat,0.033970195,Supermarket Type1,,55.1614,1381.535
FDA44,Low Fat,0.053212652,Supermarket Type1,Small,57.893,622.523
NCR17,Low Fat,0.024378706,Supermarket Type1,Small,114.5492,1274.3412
FDU04,Low Fat,0.009714595,Grocery Store,Small,120.0414,487.3656
FDF41,Low Fat,0.131383762,Supermarket Type1,Medium,246.046,1231.73
FDB56,Regular,0.07461309,Supermarket Type1,Small,187.4556,3755.112
NCP18,Low Fat,0.028459761,Supermarket Type3,Medium,149.9708,4363.6532
FDB56,Regular,0.07462720099999999,Supermarket Type1,Small,187.8556,1314.2892
FDT28,Low Fat,0.063695084,Supermarket Type1,,151.0708,1805.6496
FDD10,Regular,0.045797829000000005,Supermarket Type3,Medium,178.5344,2854.9504
FDW57,Regular,0.115857223,Supermarket Type1,Medium,179.1028,3896.2616
DRB48,Regular,0.024832806,Supermarket Type1,High,38.7822,667.7974
FDP09,Low Fat,0.034027909,Supermarket Type2,Medium,212.0902,3185.853
FDH14,Regular,0.0467696,Supermarket Type1,High,141.1838,2247.7408
FDA47,Regular,0.116576702,Supermarket Type1,High,163.121,1794.331
FDG12,Regular,-99.0,Supermarket Type1,,121.3098,2530.7058
DRE60,low fat,0.278974075,Grocery Store,Small,225.372,679.1160000000001
DRK49,Low Fat,0.035913805,Supermarket Type1,High,41.4138,812.2760000000002
FDD03,Low Fat,0.079806266,Supermarket Type1,Small,232.53,699.09
FDS52,low fat,0.005505481,Supermarket Type1,,102.4016,2732.4432
FDW39,Regular,0.064625342,Grocery Store,Small,176.937,176.437
FDX34,Low Fat,0.071636937,Supermarket Type3,Medium,121.7098,4097.3332
FDV11,Regular,-99.0,Supermarket Type1,,173.2054,3151.8972
FDD17,Low Fat,0.032677677999999995,Supermarket Type1,Medium,239.0906,5942.265
FDZ16,Regular,0.160760054,Supermarket Type1,,192.4478,4843.695
FDZ46,Low Fat,0.06911065,Supermarket Type1,Small,109.0228,2542.0244
DRA12,Low Fat,0.041177505,Supermarket Type1,,140.3154,2552.6772
FDY58,Low Fat,0.040081193,Supermarket Type2,Medium,227.0694,1141.847
NCF19,Low Fat,0.035307322,Supermarket Type1,,47.5034,680.4476
DRJ13,LF,0.063017847,Supermarket Type1,,159.0578,2085.9514
FDB14,Regular,0.171938781,Grocery Store,,92.512,186.424
FDJ38,Regular,0.040197932,Supermarket Type1,Small,190.153,3036.048
FDW11,Low Fat,0.049058014,Supermarket Type1,,62.7194,866.8716
FDL40,Low Fat,0.01161096,Supermarket Type1,Small,95.041,868.8689999999998
DRI49,Low Fat,0.183507295,Supermarket Type1,Small,82.4276,1137.1864
FDV38,Low Fat,0.102349519,Supermarket Type1,,52.7956,928.1252
DRG23,Low Fat,0.08670898699999999,Supermarket Type1,High,151.7682,762.341
NCP30,Low Fat,0.032835147,Supermarket Type1,,40.2822,707.0796
FDY25,Low Fat,0.033809913,Supermarket Type3,Medium,180.5976,7968.2944
NCH54,Low Fat,0.07266912,Supermarket Type1,Small,160.292,1438.128
NCR53,Low Fat,0.144338493,Supermarket Type3,Medium,224.4404,6976.2524
FDS52,Low Fat,0.009163216,Grocery Store,,101.7016,101.2016
FDG02,Low Fat,0.011307038,Supermarket Type2,Medium,188.5188,952.094
NCO26,Low Fat,0.076855628,Supermarket Type1,Small,116.0492,1969.4364
FDH35,Low Fat,0.059956876,Supermarket Type3,Medium,165.4526,5262.4832
FDB51,Low Fat,0.038532062,Supermarket Type1,,60.5852,1314.2892
FDX44,Low Fat,0.043209581,Supermarket Type1,,90.8172,535.3032
NCN07,Low Fat,0.056816465,Grocery Store,,132.1284,263.6568
NCC31,Low Fat,0.019866705,Supermarket Type1,Small,154.5972,1402.1748
NCX54,Low Fat,0.048331717,Supermarket Type1,,105.1622,1693.7952
NCO55,Low Fat,0.091221855,Supermarket Type1,,105.5938,2143.876
NCC30,Low Fat,0.027622076,Supermarket Type1,Medium,177.6344,2676.516
FDI16,Regular,-99.0,Supermarket Type1,Small,53.06399999999999,905.488
FDP16,Low Fat,0.039355947,Supermarket Type1,Medium,246.3802,7370.406
FDB11,Low Fat,0.060836524,Supermarket Type1,Small,226.8404,6301.1312
NCB06,Low Fat,0.082316506,Supermarket Type1,Small,160.692,1597.92
FDA45,Low Fat,0.155350299,Supermarket Type1,Small,178.237,529.311
NCO26,Low Fat,0.076841095,Supermarket Type1,Small,117.5492,1969.4364
DRJ25,Low Fat,0.151419185,Supermarket Type1,,50.3692,1034.6532
FDR28,reg,0.026001976,Supermarket Type2,Medium,161.52100000000004,1794.331
FDI04,Regular,0.073209447,Supermarket Type2,Medium,197.6426,2768.3964
DRK12,Low Fat,0.041683481,Supermarket Type3,Medium,31.29,898.83
FDX20,Low Fat,0.042560252,Supermarket Type1,Small,226.172,3169.208
NCI18,Low Fat,0.014081156,Supermarket Type2,Medium,223.5746,3589.9936
FDB36,Regular,-99.0,Supermarket Type2,Medium,132.5626,262.3252
FDN13,Low Fat,0.152918384,Supermarket Type1,,99.8358,1910.1802
DRD24,Low Fat,0.030969274,Supermarket Type1,,140.9154,1701.7848
FDQ28,Regular,0.060376775999999986,Supermarket Type1,High,154.5656,2471.4496
FDM22,Regular,0.04192285,Supermarket Type1,High,54.764,1331.6
FDR07,Low Fat,0.077367431,Supermarket Type3,Medium,97.0094,1808.9786
FDV25,Low Fat,0.045838211,Supermarket Type2,Medium,222.5456,3315.684
DRF49,Low Fat,0.071077939,Supermarket Type1,Small,114.2518,2618.5914
FDW51,Regular,0.094659871,Supermarket Type1,Small,214.556,2769.728
DRL01,Regular,0.077608838,Supermarket Type1,,233.4958,5375.0034
FDP25,Low Fat,0.021327477,Supermarket Type1,,216.8824,2838.9712
FDL50,Regular,0.042485444,Supermarket Type2,Medium,125.0046,1743.0644
NCB30,Low Fat,0.025578526,Supermarket Type3,Medium,198.8084,5555.4352
FDW11,Low Fat,0.048980800000000005,Supermarket Type2,Medium,61.9194,619.194
NCM43,Low Fat,0.019471688,Supermarket Type1,Small,164.821,2120.573
FDK44,Low Fat,0.122918852,Supermarket Type1,,173.0738,3823.0236
FDM15,Regular,0.057373797,Supermarket Type1,High,151.4366,1360.2294
FDS31,Regular,0.044155597000000005,Supermarket Type1,High,178.8318,3969.4996
FDI32,Low Fat,0.291865402,Grocery Store,,115.1834,345.5502
FDR47,LF,-99.0,Grocery Store,,196.5794,585.2382
FDB35,Regular,0.064750025,Supermarket Type1,,92.6804,1010.6844
NCU05,Low Fat,0.098312421,Grocery Store,,81.4618,161.1236
DRY23,Regular,0.191013663,Grocery Store,Small,42.1112,42.6112
FDO24,Low Fat,0.176573035,Supermarket Type1,,157.4604,3010.7476
FDQ28,Regular,0.060134441,Supermarket Type3,Medium,153.0656,6024.1584
FDV39,Low Fat,0.007294651999999999,Supermarket Type1,,198.1426,988.713
NCO17,Low Fat,0.128478462,Grocery Store,Small,117.944,239.688
FDU50,Regular,0.075107656,Supermarket Type1,High,112.8176,1374.2112
FDT12,Regular,0.049381406,Supermarket Type3,Medium,226.8062,4739.8302
FDK58,Regular,0.045165796,Supermarket Type2,Medium,100.0016,1012.016
FDO08,Regular,0.09415375,Grocery Store,Small,165.7526,657.8104
NCW29,Low Fat,0.028907832,Supermarket Type1,Medium,130.431,778.9860000000001
FDE04,Regular,0.018059621,Supermarket Type1,,179.766,2336.958
NCB19,Low Fat,0.090436094,Supermarket Type1,Medium,85.0882,2233.0932
FDV15,Low Fat,0.146399712,Supermarket Type1,Medium,103.9648,1661.8368
FDL58,Regular,0.07426435599999999,Supermarket Type1,Medium,264.7568,4745.8224
FDA08,Regular,0.050186726,Supermarket Type1,,164.1526,3124.5994
FDT43,Low Fat,0.020631654,Supermarket Type2,Medium,50.1324,467.3916
NCX06,Low Fat,0.01561108,Supermarket Type3,Medium,182.5976,5070.7328
FDT20,Low Fat,0.041395445,Supermarket Type1,Small,37.6164,540.6296
FDB41,Regular,0.097313129,Supermarket Type1,Small,48.0718,992.7078
NCN55,Low Fat,0.059582996,Supermarket Type1,Medium,238.8538,6008.845
FDE40,Regular,0.098663652,Supermarket Type3,Medium,62.9194,2105.2596
FDX49,reg,0.101338651,Supermarket Type3,Medium,232.63,5359.69
NCM53,Low Fat,0.052146456,Supermarket Type1,,104.628,745.696
FDE36,Regular,0.041764487,Supermarket Type1,Small,161.8868,3275.736
FDN57,Low Fat,0.054344186,Supermarket Type1,,140.2154,1701.7848
FDI24,Low Fat,0.07836248400000001,Supermarket Type3,Medium,177.937,6704.606
FDI19,Low Fat,0.052339069,Supermarket Type1,Small,242.7512,4119.9704
FDF24,Regular,0.042464962,Grocery Store,,81.5934,327.5736
FDG52,Low Fat,0.06573288299999999,Supermarket Type1,Medium,45.7402,780.9834
DRF36,LF,0.023625114,Supermarket Type1,,189.3846,3630.6074
FDS45,Regular,0.051643608,Grocery Store,Small,107.3622,317.5866
FDX40,Low Fat,0.165694219,Grocery Store,,39.7164,231.6984
DRK12,LF,0.041878397000000005,Supermarket Type1,Small,32.99,133.16
DRC27,Low Fat,0.058091482,Supermarket Type1,Small,245.1802,5650.6446
FDL58,Regular,-99.0,Supermarket Type1,,263.7568,2636.568
NCD30,Low Fat,0.026903714,Supermarket Type1,,96.0726,1272.3438
NCZ54,Low Fat,-99.0,Grocery Store,,161.5552,324.9104
FDE10,Regular,0.150554711,Grocery Store,,130.0626,131.1626
FDR44,Regular,-99.0,Grocery Store,,131.2968,260.9936
FDP28,Regular,0.134975628,Grocery Store,,260.0936,260.9936
FDX15,Low Fat,0.15616879,Supermarket Type1,High,160.6578,3690.5294
FDA39,LF,-99.0,Supermarket Type1,Small,40.2822,1139.1838
FDY24,Regular,0.133700752,Supermarket Type1,Medium,52.9298,1995.4026
FDC60,Regular,0.115119905,Supermarket Type1,,88.3514,1416.8224
FDH28,Regular,0.110030997,Supermarket Type1,Small,37.2506,265.6542
FDT25,Low Fat,0.051038045,Supermarket Type1,,121.7072,3552.7088
DRJ13,Low Fat,0.062837968,Supermarket Type1,High,161.5578,2406.867
NCO07,Low Fat,0.017116983,Grocery Store,Small,211.956,213.056
FDW20,Low Fat,0.024129332000000003,Supermarket Type1,High,124.173,2956.152
DRF27,Low Fat,0.049754975,Grocery Store,Small,152.134,153.134
FDS49,Low Fat,-99.0,Supermarket Type1,Small,79.7644,1649.8524
FDX25,Low Fat,0.101561568,Supermarket Type3,Medium,181.9292,3101.2964
NCX42,Low Fat,0.0059496440000000005,Supermarket Type3,Medium,165.6526,4769.1254
FDG33,Regular,0.13956116,Supermarket Type3,Medium,170.4764,3435.528
FDL56,Low Fat,0.126035694,Supermarket Type1,,86.4198,1133.8574
FDF14,Low Fat,0.027164679,Supermarket Type1,Small,152.334,2603.278
NCD06,Low Fat,0.099325278,Supermarket Type1,Small,45.40600000000001,605.878
DRM47,Low Fat,0.04357366,Supermarket Type3,Medium,192.8846,2293.0152
FDS46,Regular,0.082741482,Grocery Store,Small,118.7782,119.1782
FDB35,Regular,0.064565202,Supermarket Type1,High,92.9804,1929.4884
FDX21,LF,0.08455456900000001,Supermarket Type3,Medium,109.8912,2074.6328
NCU05,Low Fat,0.058451805,Supermarket Type3,Medium,79.9618,241.6854
NCR38,Low Fat,0.113748685,Supermarket Type1,,251.3724,6795.1548
NCR18,Low Fat,0.020603511,Supermarket Type1,,42.7112,639.168
NCU41,Low Fat,0.052044976,Supermarket Type1,Small,192.1846,3248.4382
FDY56,Regular,0.06276442900000001,Supermarket Type1,,227.6062,7222.5984
DRJ51,Low Fat,0.08797726199999999,Supermarket Type1,Small,229.0668,3225.1352
FDK21,Low Fat,0.010010425,Supermarket Type1,Small,249.0408,3755.112
FDY25,Low Fat,0.033946163,Supermarket Type1,High,179.3976,3440.8544
FDU44,Regular,0.058414678,Supermarket Type1,Small,163.4552,974.7312
FDL43,Low Fat,0.027106459,Supermarket Type1,Medium,75.367,535.969
FDF05,Low Fat,0.027022883,Supermarket Type1,,262.491,5259.82
DRF15,Low Fat,0.058153409,Grocery Store,Small,152.034,306.268
FDL20,Low Fat,0.128937661,Supermarket Type2,Medium,112.3886,1779.0176
FDV32,Low Fat,0.088846306,Supermarket Type1,Medium,61.451,759.012
FDJ34,Regular,0.09357779,Supermarket Type1,High,125.9704,1877.556
FDG08,Regular,0.165694678,Supermarket Type1,,171.8764,3779.0808
FDQ04,Low Fat,0.148392623,Grocery Store,Small,41.5796,41.2796
FDW13,Low Fat,0.098438394,Supermarket Type1,,51.1324,259.66200000000003
NCI17,Low Fat,0.143303291,Supermarket Type1,High,96.341,193.082
FDY03,Regular,0.076276208,Supermarket Type1,,110.9202,1687.803
FDS12,Low Fat,0.175103435,Supermarket Type1,,127.5362,4655.9394
FDJ55,Regular,0.023511371,Supermarket Type1,High,225.9404,4950.8888
DRK01,Low Fat,0.06105276,Supermarket Type1,Small,95.4436,1418.154
FDG28,Regular,0.049559042000000005,Supermarket Type1,,246.4144,1225.072
FDY38,Regular,0.119418124,Supermarket Type1,,231.03,5359.69
FDN01,Low Fat,0.072545601,Supermarket Type1,,176.237,1764.37
NCR54,Low Fat,0.090486828,Supermarket Type1,High,195.211,2553.343
FDG29,Low Fat,0.056245075,Supermarket Type1,High,43.3454,1006.6896
FDG24,Low Fat,0.014618973,Supermarket Type1,High,85.225,1081.925
FDG59,Low Fat,0.043479125999999986,Supermarket Type1,,36.7164,308.9312
FDM28,Low Fat,0.045166237000000005,Supermarket Type1,High,178.666,2516.724
FDW04,Regular,0.057827101,Supermarket Type1,Small,128.83100000000002,1428.141
FDS26,Low Fat,0.089394766,Supermarket Type1,High,260.1594,2093.2752
FDQ56,Low Fat,0.10550944,Supermarket Type1,High,85.6908,1929.4884
FDK51,Low Fat,0.005234153,Supermarket Type1,Small,264.0884,5829.7448
FDL22,Low Fat,0.036390174,Supermarket Type1,Small,91.4488,2082.6224
FDH19,Low Fat,0.03292824,Supermarket Type3,Medium,173.1738,7298.4996
FDY55,Low Fat,0.081252534,Supermarket Type1,High,256.4988,7452.9652
FDY03,Regular,0.076552407,Supermarket Type1,,110.5202,450.0808
FDK21,Low Fat,0.016758568999999997,Grocery Store,,250.4408,500.6816
FDZ10,Low Fat,0.044248175,Supermarket Type3,Medium,126.202,3668.558
FDZ32,Regular,0.038288087,Supermarket Type2,Medium,103.1964,736.3748
NCZ18,Low Fat,0.186032678,Supermarket Type1,Small,253.0698,6088.0752
NCF07,Low Fat,0.031867464,Supermarket Type3,Medium,101.0016,2125.2336
DRE49,Low Fat,0.021370201,Supermarket Type1,,153.0024,2277.036
FDJ08,Low Fat,0.193772568,Grocery Store,Small,190.3846,573.2538
FDT39,Regular,0.009866049,Supermarket Type1,Small,151.1366,2267.049
FDE08,Low Fat,0.082551042,Grocery Store,,147.3734,296.9468
NCD06,Low Fat,0.099729888,Supermarket Type2,Medium,46.306,559.2719999999998
FDB57,Regular,0.018801549,Supermarket Type1,Small,222.1772,5559.43
NCT54,Low Fat,0.119721451,Supermarket Type1,Medium,95.5094,1237.7222
DRF49,Low Fat,0.071222087,Supermarket Type1,,113.5518,569.259
FDM25,Regular,0.060371962,Supermarket Type3,Medium,174.0712,3866.9664
FDF20,low fat,0.033287541000000004,Supermarket Type1,,198.4768,1379.5376
FDH27,Low Fat,0.05858462,Supermarket Type2,Medium,142.7128,1869.5664
FDV60,Regular,0.11679292,Supermarket Type3,Medium,196.211,5499.508000000002
FDY59,Low Fat,0.031452265,Supermarket Type1,Medium,94.3462,925.462
FDK36,Low Fat,0.00721395,Supermarket Type1,Small,47.9034,583.2408
NCM31,Low Fat,0.081196619,Supermarket Type1,Small,141.4154,1418.154
FDE33,Regular,0.049916364000000005,Supermarket Type1,,80.2644,942.7728
FDU36,Low Fat,0.04627095,Supermarket Type1,Small,99.3384,2364.9216
FDV13,Regular,0.02747716,Supermarket Type3,Medium,87.9856,3251.7672
FDV20,Regular,0.104704537,Grocery Store,Small,125.2678,254.3356
NCQ54,Low Fat,0.012540003,Supermarket Type1,Small,167.0474,5895.6590000000015
FDO23,Low Fat,0.147023834,Supermarket Type2,Medium,93.7436,1134.5232
DRE60,Low Fat,0.15965759599999998,Supermarket Type1,,224.972,7696.648
DRP47,Low Fat,0.141398626,Supermarket Type1,,250.5382,2775.7202
FDB21,Low Fat,0.148821808,Supermarket Type1,,241.2854,5317.0788
FDR04,Low Fat,-99.0,Supermarket Type2,Medium,98.0068,874.8612
FDX23,Low Fat,0.029691762000000007,Supermarket Type1,Small,92.6436,1039.9796
FDX19,Low Fat,0.096715523,Supermarket Type1,Small,235.0958,3038.0454
FDD40,Regular,0.014790558999999997,Supermarket Type1,Small,193.6162,3848.324
FDA01,Regular,0.054378253,Supermarket Type1,Small,59.1904,527.3136
FDS33,Regular,0.123428594,Supermarket Type1,Small,89.1514,2390.8878
FDM50,Regular,0.029943463,Supermarket Type3,Medium,60.222,1677.816
FDB29,Regular,0.052368061,Supermarket Type1,High,112.7176,801.6232
FDF46,Low Fat,0.093861144,Supermarket Type1,,115.5834,1267.0174
FDA33,Low Fat,0.033968647000000005,Supermarket Type1,,148.0076,886.8456
FDC08,Regular,0.173154079,Grocery Store,,228.272,452.744
FDB53,Low Fat,0.139735226,Supermarket Type1,,147.5392,3877.6192
FDY31,Low Fat,0.043351896,Supermarket Type3,Medium,146.6418,4414.254
DRQ35,Low Fat,0.042086652,Supermarket Type3,Medium,122.4388,5448.9072
FDX36,Regular,0.12848269,Supermarket Type1,Medium,223.9404,4950.8888
DRD13,Low Fat,0.049357077,Supermarket Type1,,62.6168,958.752
FDC52,Regular,0.008326735,Supermarket Type1,,149.9708,1956.1204
FDB45,Low Fat,0.021362955,Supermarket Type1,Medium,103.2306,2404.2038
NCK19,Low Fat,0.151420934,Grocery Store,,194.3478,387.4956
FDV51,Low Fat,0.032511818,Supermarket Type1,High,165.0842,994.7052
FDZ35,Regular,0.022323658,Supermarket Type1,,101.299,1754.3829999999996
NCW17,Low Fat,0.019292355,Supermarket Type3,Medium,129.9994,3340.9844
FDV59,Low Fat,0.048124443,Supermarket Type1,,216.7166,3918.8988
DRH39,Low Fat,0.09261307,Supermarket Type1,High,76.367,306.268
FDN60,Low Fat,0.094697274,Supermarket Type3,Medium,158.4604,4278.4308
FDU55,Low Fat,0.035984104,Supermarket Type1,,260.6278,4425.5726
FDN58,Regular,0.056596985,Supermarket Type3,Medium,230.9984,9267.936
FDC41,Low Fat,0.2047,Grocery Store,Small,76.867,229.701
FDO01,Regular,0.020618324,Supermarket Type3,Medium,129.3994,2055.9904
NCO43,Low Fat,0.04709821,Supermarket Type1,Small,101.3016,3339.6528
FDQ07,Regular,0.087584126,Supermarket Type1,,221.7456,6410.3224
FDF28,Regular,0.038078899,Supermarket Type1,,122.9046,1992.0736
FDM01,reg,0.095102092,Supermarket Type1,,104.4332,2870.9296
FDY49,Regular,0.011953902,Supermarket Type3,Medium,164.5184,2807.0128
FDR24,Regular,0.062799379,Supermarket Type1,High,88.18299999999998,539.298
NCY18,Low Fat,0.031125709,Supermarket Type1,High,174.3054,4377.635
NCY30,Low Fat,0.026005891,Supermarket Type1,,180.9976,2716.4640000000004
FDJ22,Low Fat,0.09246392,Grocery Store,Small,190.9504,383.5008
DRI37,Low Fat,0.107765165,Supermarket Type1,Medium,59.5904,703.0848
FDL27,Low Fat,0.010647477,Supermarket Type1,Medium,66.3826,1937.478
NCO30,Low Fat,0.015749341,Supermarket Type1,Medium,182.2608,3307.6944
NCB07,Low Fat,0.077628053,Supermarket Type1,Medium,197.611,3142.576
FDX25,Low Fat,-99.0,Supermarket Type2,Medium,181.2292,2554.0088
FDP59,Regular,0.056695731,Supermarket Type2,Medium,104.0648,1869.5664
FDR59,Regular,0.063993068,Supermarket Type1,,260.4594,5494.8474
FDT27,Regular,0.06952926200000001,Supermarket Type1,High,233.1616,6093.4016
DRI01,Low Fat,0.034452949,Supermarket Type1,Small,174.0422,2586.633
FDU09,Regular,0.06670068,Supermarket Type1,Medium,55.2956,1255.6988
FDH26,Regular,0.034699737,Supermarket Type1,Small,141.7496,4093.3384
FDH27,Low Fat,0.058346939,Supermarket Type1,Small,142.2128,3163.8816
FDN39,Regular,0.065203103,Supermarket Type3,Medium,166.0816,5033.448
FDH40,Regular,0.07892957099999999,Supermarket Type1,Small,79.9276,1137.1864
FDJ56,Low Fat,0.182514881,Supermarket Type3,Medium,98.77,2696.49
DRN47,Low Fat,0.016895293000000002,Supermarket Type2,Medium,178.56599999999997,898.83
NCO17,Low Fat,0.073379745,Supermarket Type1,Small,118.244,2756.4120000000007
FDX60,Low Fat,0.08075758,Supermarket Type1,,81.896,878.8560000000001
